Date,Region,Region_ru,Confirmed,Recovered,Deaths,Day_Deaths,Day_Confirmed,Day_Recovered
2020-03-14,Belgorod region,Белгородская область,1,0,0,0,0,0
2020-03-14,Bryansk region,Брянская область,0,0,0,0,0,0
2020-03-14,The Republic of Buryatia,Республика Бурятия,0,0,0,0,0,0
2020-03-14,Vladimir region,Владимирская область,0,0,0,0,0,0
2020-03-14,Volgograd region,Волгоградская область,0,0,0,0,0,0
2020-03-14,Vologda Region,Вологодская область,0,0,0,0,0,0
2020-03-14,Voronezh region,Воронежская область,0,0,0,0,0,0
2020-03-14,The Republic of Dagestan,Республика Дагестан,0,0,0,0,0,0
2020-03-14,Jewish Autonomous Region,Еврейская автономная область,0,0,0,0,0,0
2020-03-14,Zabaykalsky Krai,Забайкальский край,0,0,0,0,0,0
2020-03-14,Ivanovo region,Ивановская область,0,0,0,0,0,0
2020-03-14,The Republic of Ingushetia,Республика Ингушетия,0,0,0,0,0,0
2020-03-14,Irkutsk region,Иркутская область,0,0,0,0,0,0
2020-03-14,Kabardino-Balkar Republic,Кабардино-Балкарская Республика,0,0,0,0,0,0
2020-03-14,Kaliningrad region,Калининградская область,3,0,0,0,1,0
2020-03-14,Republic of Kalmykia,Республика Калмыкия,0,0,0,0,0,0
2020-03-14,Kaluga region,Калужская область,0,0,0,0,0,0
2020-03-14,Kamchatka Krai,Камчатский край,0,0,0,0,0,0
2020-03-14,Karachay-Cherkess Republic,Карачаево-Черкесская Республика,0,0,0,0,0,0
2020-03-14,The Republic of Karelia,Республика Карелия,0,0,0,0,0,0
2020-03-14,Kemerovo region,Кемеровская область,2,0,0,0,2,0
2020-03-14,Kirov region,Кировская область,0,0,0,0,0,0
2020-03-14,Komi Republic,Республика Коми,0,0,0,0,0,0
2020-03-14,Kostroma region,Костромская область,0,0,0,0,0,0
2020-03-14,Krasnodar region,Краснодарский край,1,0,0,0,0,0
2020-03-14,Krasnoyarsk region,Красноярский край,0,0,0,0,0,0
2020-03-14,Republic of Crimea,Республика Крым,0,0,0,0,0,0
2020-03-14,Kurgan region,Курганская область,0,0,0,0,0,0
2020-03-14,Kursk region,Курская область,0,0,0,0,0,0
2020-03-14,Leningrad region,Ленинградская область,1,0,0,0,0,0
2020-03-14,Lipetsk region,Липецкая область,3,0,0,0,0,0
2020-03-14,Magadan Region,Магаданская область,0,0,0,0,0,0
2020-03-14,Mari El Republic,Республика Марий Эл,0,0,0,0,0,0
2020-03-14,The Republic of Mordovia,Республика Мордовия,0,0,0,0,0,0
2020-03-14,Moscow,Москва,35,0,0,0,9,0
2020-03-14,Moscow region,Московская область,6,0,0,0,1,0
2020-03-14,Murmansk region,Мурманская область,0,0,0,0,0,0
2020-03-14,Nizhny Novgorod Region,Нижегородская область,1,0,0,0,0,0
2020-03-14,Novgorod region,Новгородская область,0,0,0,0,0,0
2020-03-14,Novosibirsk region,Новосибирская область,0,0,0,0,0,0
2020-03-14,Omsk region,Омская область,0,0,0,0,0,0
2020-03-14,Orenburg region,Оренбургская область,0,0,0,0,0,0
2020-03-14,Oryol Region,Орловская область,0,0,0,0,0,0
2020-03-14,Penza region,Пензенская область,0,0,0,0,0,0
2020-03-14,Perm,Пермский край,1,0,0,0,0,0
2020-03-14,Primorsky Krai,Приморский край,0,0,0,0,0,0
2020-03-14,Pskov region,Псковская область,0,0,0,0,0,0
2020-03-14,Rostov region,Ростовская область,0,0,0,0,0,0
2020-03-14,Ryazan Oblast,Рязанская область,0,0,0,0,0,0
2020-03-14,Samara Region,Самарская область,0,0,0,0,0,0
2020-03-14,St. Petersburg,Санкт-Петербург,5,0,0,0,1,0
2020-03-14,Saratov region,Саратовская область,0,0,0,0,0,0
2020-03-14,The Republic of Sakha (Yakutia),Республика Саха (Якутия),0,0,0,0,0,0
2020-03-14,Sakhalin region,Сахалинская область,0,0,0,0,0,0
2020-03-14,Sverdlovsk region,Свердловская область,0,0,0,0,0,0
2020-03-14,Sevastopol,Севастополь,0,0,0,0,0,0
2020-03-14,North Ossetia,Северная Осетия,0,0,0,0,0,0
2020-03-14,Smolensk region,Смоленская область,0,0,0,0,0,0
2020-03-14,Stavropol region,Ставропольский край,0,0,0,0,0,0
2020-03-14,Tambov Region,Тамбовская область,0,0,0,0,0,0
2020-03-14,Republic of Tatarstan,Республика Татарстан,0,0,0,0,0,0
2020-03-14,Tver region,Тверская область,0,0,0,0,0,0
2020-03-14,Tomsk region,Томская область,0,0,0,0,0,0
2020-03-14,Tula region,Тульская область,0,0,0,0,0,0
2020-03-14,Tyva Republic,Республика Тыва,0,0,0,0,0,0
2020-03-14,Tyumen region,Тюменская область,0,0,0,0,0,0
2020-03-14,Udmurtia,Удмуртская Республика,0,0,0,0,0,0
2020-03-14,Ulyanovsk region,Ульяновская область,0,0,0,0,0,0
2020-03-14,Khabarovsk region,Хабаровский край,0,0,0,0,0,0
2020-03-14,The Republic of Khakassia,Республика Хакасия,0,0,0,0,0,0
2020-03-14,Khanty-Mansiysk,Ханты-Мансийский АО,0,0,0,0,0,0
2020-03-14,Chelyabinsk region,Челябинская область,0,0,0,0,0,0
2020-03-14,Chechen Republic,Чеченская Республика,0,0,0,0,0,0
2020-03-14,Chuvash Republic,Республика Чувашия,0,0,0,0,0,0
2020-03-14,Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий АО,0,0,0,0,0,0
2020-03-14,Yaroslavskaya oblast,Ярославская область,0,0,0,0,0,0
2020-03-15,Republic of Adygea,Республика Адыгея,0,0,0,0,0,0
2020-03-15,Altai region,Алтайский край,0,0,0,0,0,0
2020-03-15,Amur region,Амурская область,0,0,0,0,0,0
2020-03-15,Arhangelsk region,Архангельская область,0,0,0,0,0,0
2020-03-15,Astrakhan region,Астраханская область,0,0,0,0,0,0
2020-03-15,Republic of Bashkortostan,Республика Башкортостан,0,0,0,0,0,0
2020-03-15,Belgorod region,Белгородская область,1,0,0,0,0,0
2020-03-15,Bryansk region,Брянская область,0,0,0,0,0,0
2020-03-15,The Republic of Buryatia,Республика Бурятия,0,0,0,0,0,0
2020-03-15,Vladimir region,Владимирская область,0,0,0,0,0,0
2020-03-15,Volgograd region,Волгоградская область,0,0,0,0,0,0
2020-03-15,Vologda Region,Вологодская область,0,0,0,0,0,0
2020-03-15,Voronezh region,Воронежская область,0,0,0,0,0,0
2020-03-15,The Republic of Dagestan,Республика Дагестан,0,0,0,0,0,0
2020-03-15,Jewish Autonomous Region,Еврейская автономная область,0,0,0,0,0,0
